"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1000710001,"160 FRONT ST",1997,14,2000,3,3,1,0
1001170001,"7213 16TH AVE",1997,14,2000,3,2,0,1
1002010001,"56 MOTT ST",1990,14,2000,4,3,0,1
1002760004,"9 MONROE ST",1999,14,2000,1,1,1,0
1002760006,"13 MONROE ST",2000,14,2000,1,1,1,0
1002760007,"15 MONROE ST",2000,14,2000,1,1,1,0
1002760025,"47 MARKET ST",1991,34,2000,3,2,2,1
1002760031,"116 MADISON ST",1993,14,2000,2,1,1,0
1002930015,"13 ALLEN ST",1998,14,2000,1,1,1,0
1003080024,"46 ALLEN ST",1998,14,2000,1,1,1,0
1003100004,"40 LUDLOW ST",1992,14,2000,1,1,0,0
1003890043,"635 E 6TH ST",1990,14,2000,2,2,1,0
1003930005,"167 AVENUE B",1985,14,2000,1,1,1,0
1003930021,"628 E 11TH ST",1991,14,2000,1,1,1,0
1003940041,"185 AVENUE C",1989,14,2000,3,2,0,0
1003980018,"176 E 3RD ST",1992,14,2000,2,2,0,0
1003990044,"185 E 3RD ST",1992,14,2000,1,1,1,0
1004000001,"58 TO 72 AVENUE A",1991,14,2000,1,1,1,0
1004010030,"540 E 6TH ST",1987,14,2000,1,1,1,0
1004020011,"140 E 7TH ST",1991,14,2000,1,1,0,0
1004020015,"144 E 7TH ST",1991,14,2000,1,1,0,0
1004020019,"150 E 7TH ST",1991,14,2000,1,1,0,0
1004020050,"531 E 6TH ST",1992,14,2000,3,3,0,0
1004060021,"530 E 13TH ST",1996,14,2000,2,1,0,1
1004120034,"163 LUDLOW ST",1992,14,2000,1,1,1,0
1004130043,"261 BROOME ST",1994,14,2000,2,2,1,0
1004130045,"81 TO 83 ORCHARD ST",1991,14,2000,2,2,0,0
1004140003,"138 ELDRIDGE ST",1989,14,2000,1,1,1,0
1004140024,"93 ALLEN ST",1993,14,2000,1,1,0,0
1004290005,"18 TO 20 1ST AVE",1990,14,2000,1,1,1,0
1004310025,"172 E 4TH ST",2000,14,2000,1,1,0,0
1004340043,"429 E 6TH ST",1992,14,2000,1,1,1,0
1004350045,"111 E 7TH ST",1992,14,2000,1,1,1,0
1004350055,"97 E 7TH ST",1997,14,2000,1,1,0,0
1004420015,"39 E 1ST ST",1998,14,2000,2,2,0,0
1004450055,"59 E 3RD ST",1993,14,2000,3,3,3,0
1004460028,"340 E 5TH ST",1991,14,2000,2,2,2,0
1004470012,"312 E 6TH ST",1993,14,2000,1,1,1,0
1004470014,"316 E 6TH ST",1993,14,2000,1,1,0,0
1004470053,"309 E 5TH ST",1990,14,2000,2,2,2,0
1004470055,"303 E 5TH ST",1990,14,2000,2,2,1,0
1004510006,"156 2ND AVE",1992,14,2000,1,1,0,0
1004520001,"201 E 10TH ST",1992,14,2000,2,2,2,0
1004520024,"332 E 11TH ST",1998,14,2000,1,1,0,0
1004520054,"205 E 10TH ST",1990,14,2000,1,1,0,0
1004530011,"301 TO 309 E 11TH ST",1993,14,2000,2,2,1,0
1004540047,"345 E 12TH ST",1992,14,2000,1,1,1,0
1004540050,"339 E 12TH ST",1992,14,2000,1,1,1,0
1004630021,"24 SAINT MARKS PL",1992,14,2000,2,2,0,0
1004640013,"206 E 9TH ST",1995,14,2000,1,1,1,0
1004640034,"141 2ND AVE",1991,14,2000,1,1,1,0
1004650047,"159 2ND AVE",1996,14,2000,1,1,1,0
1004660016,"214 E 11TH ST",1990,14,2000,1,1,1,0
1004660048,"111 E 10TH ST",1995,14,2000,1,1,1,0
1004680046,"229 E 12TH ST",1991,14,2000,2,2,2,0
1004740007,"54 GREENE ST",1999,14,2000,2,1,0,1
1004760042,"25 THOMPSON ST",1996,14,2000,1,1,1,0
1004760054,"26 THOMPSON ST",1990,14,2000,1,1,0,0
1004800041,"380 BROOME ST",1995,14,2000,3,3,0,0
1004880017,"174 SPRING ST",1994,14,2000,1,1,0,0
1004890026,"79 THOMPSON ST",1990,14,2000,1,1,1,0
1004940031,"217 MOTT ST",1997,34,2000,1,1,0,0
1005030006,"107 TO 109 SULLIVAN ST",1992,34,2000,1,1,1,0
1005030012,"119 SULLIVAN ST",1992,34,2000,1,1,1,0
1005040019,"202 6TH AVE",1991,14,2000,2,2,0,0
1005080053,"242 MOTT ST",1990,14,2000,1,1,1,0
1005160002,"128 THOMPSON ST",1998,14,2000,2,2,1,0
1005180002,"40 MACDOUGAL ST",1984,34,2000,1,1,1,0
1005370006,"218 THOMPSON ST",1997,14,2000,1,1,0,0
1005390014,"237 TO 241 SULLIVAN ST",1998,14,2000,3,3,1,0
1005510016,"27 WASHINGTON SQ N",1990,14,2000,1,1,0,0
1005570017,"60 E 12TH ST",1994,14,2000,4,4,1,0
1005590009,"145 4TH AVE",1995,14,2000,6,3,1,2
1005620044,"25 E 10TH ST",1997,14,2000,5,4,1,0
1005720008,"66 W 9TH ST",1999,34,2000,1,1,1,0
1005720049,"11 TO 15 W 8TH ST",1998,14,2000,1,1,1,0
1005720054,"23 TO 25 W 8TH ST",1992,14,2000,6,6,4,0
1005730019,"44 W 10TH ST",1991,14,2000,4,4,3,0
1005750011,"86 W 12TH ST",1993,14,2000,3,2,2,1
1005750077,"55 W 11TH ST",1996,14,2000,2,2,0,0
1005830024,"40 MORTON ST",1995,14,2000,1,1,0,0
1005830039,"26 7TH AVE S",1997,14,2000,3,3,2,0
1005860035,"35 CARMINE ST",1989,14,2000,2,2,2,0
1005880007,"22 GROVE ST",2000,14,2000,2,2,1,0
1005900043,"25 TO 27 CORNELIA ST",1990,14,2000,1,1,0,0
1005900045,"29 CORNELIA ST",1996,14,2000,3,3,2,0
1005910040,"49 GROVE ST",1991,14,2000,4,4,1,0
1005920040,"10 SHERIDAN SQ",1997,14,2000,2,2,0,0
1005970033,"307 SPRING ST",1994,14,2000,1,1,0,0
1006080024,"128 TO 130 W 13TH ST",1997,14,2000,2,2,2,0
1006080060,"137 W 12TH ST",1997,14,2000,1,1,0,0
1006110022,"30 CHARLES ST",1994,14,2000,1,1,1,0
1006110070,"141 W 10TH ST",1992,14,2000,1,1,1,0
1006120007,"48 PERRY ST",2000,34,2000,1,1,0,0
1006150089,"255 W 12TH ST",1998,14,2000,1,1,0,0
1006160001,"31 JANE ST",1996,14,2000,2,2,0,0
1006160027,"1 JANE ST",1997,14,2000,3,3,0,0
1006170021,"225 W 12TH ST",1997,14,2000,1,1,0,0
1006170036,"234 W 13TH ST",1990,14,2000,1,1,1,0
1006180014,"238 W 14TH ST",2000,14,2000,2,2,1,0
1006180033,"56 7TH AVE",1990,14,2000,4,3,0,0
1006180044,"209 W 13TH ST",1999,34,2000,1,1,1,0
1006190069,"228 W 4TH ST",1996,14,2000,2,1,1,1
1006190070,"226 W 4TH ST",1995,14,2000,1,1,0,0
1006240053,"51 BANK ST",1990,14,2000,1,1,0,0
1006260036,"37 TO 39 JANE ST",1994,14,2000,1,1,0,0
1006340035,"321 W 11TH ST",1990,14,2000,1,1,0,0
1006350026,"780 GREENWICH ST",1992,14,2000,1,1,0,0
1006360022,"165 TO 169 CHRISTOPHER ST",1995,14,2000,1,1,1,0
1006430027,"97 HORATIO ST",1986,14,2000,1,1,1,0
1006990031,"299 10TH AVE",1999,14,2000,3,2,1,1
1006990032,"301 10TH AVE",1999,14,2000,1,1,1,0
1007190065,"440 W 22ND ST",1995,14,2000,3,2,1,1
1007310065,"440 W 34TH ST",1995,14,2000,1,1,0,0
1007320007,"455 W 34TH ST",1995,34,2000,1,1,0,0
1007380008,"362 TO 364 W 15TH ST",1992,14,2000,2,2,0,0
1007380068,"352 W 15TH ST",1997,14,2000,1,1,0,0
1007380072,"360 W 15TH ST",1998,14,2000,1,1,0,0
1007410039,"306 W 18TH ST",1996,14,2000,2,2,1,0
1007410067,"364 W 18TH ST",1993,14,2000,1,1,0,0
1007420022,"319 W 18TH ST",1994,14,2000,2,2,0,0
1007450014,"337 W 21ST ST",1993,14,2000,2,2,1,0
1007450025,"317 W 21ST ST",1999,14,2000,1,1,1,0
1007530051,"320 W 30TH ST",1993,14,2000,1,1,1,0
1007660032,"215 W 16TH ST",1986,14,2000,1,1,0,0
1007660071,"248 W 17TH ST",1992,14,2000,4,4,2,0
1007710001,"261 W 21ST ST",1990,14,2000,1,1,1,0
1007710046,"212 W 22ND ST",1989,14,2000,3,3,3,0
1007720016,"255 W 22ND ST",1995,14,2000,2,1,0,0
1007730027,"225 W 23RD ST",1990,14,2000,3,2,1,1
1007750017,"231 W 25TH ST",1991,14,2000,2,2,0,0
1007910022,"131 TO 133 W 15TH ST",1992,14,2000,1,1,1,0
1007920024,"115 W 16TH ST",1992,14,2000,1,1,1,0
1007920028,"107 TO 111 W 16TH ST",2000,14,2000,1,1,1,0
1007940064,"144 W 19TH ST",1999,14,2000,1,1,1,0
1007950069,"152 W 20TH ST",1989,14,2000,1,1,1,0
1008170001,"77 W 15TH ST",2000,14,2000,1,1,0,0
1008240036,"172 5TH AVE",1993,14,2000,1,1,1,0
1008600022,"121 MADISON AVE",1993,14,2000,2,2,0,0
1008630044,"4 PARK AVE",1997,14,2000,4,4,1,0
1008650024,"35 E 35TH ST",1999,14,2000,1,1,0,0
1008650042,"36 E 36TH ST",1999,14,2000,1,1,0,0
1008710039,"145 E 15TH ST",1998,14,2000,1,1,0,0
1008720069,"112 E 17TH ST",1991,14,2000,3,3,2,0
1008730028,"135 E 17TH ST",1990,14,2000,3,2,2,0
1008730040,"150 E 18TH ST",1997,14,2000,2,1,0,1
1008740021,"68 TO 70 IRVING PL",1997,14,2000,2,2,1,0
1008770035,"39A GRAMERCY PARK N",1989,14,2000,1,1,1,0
1008770067,"7 LEXINGTON AVE",1995,14,2000,1,1,0,0
1008790070,"124 E 24TH ST",1990,14,2000,7,5,3,1
1008800006,"105 E 24TH ST",1998,34,2000,3,3,3,0
1008820028,"95 LEXINGTON AVE",1997,14,2000,4,2,0,0
1008820031,"137 E 26TH ST",1995,14,2000,1,1,1,0
1008820043,"155 E 26TH ST",1992,14,2000,1,1,0,0
1008830031,"139 E 27TH ST",1993,14,2000,2,1,1,0
1008850033,"137 E 29TH ST",1992,14,2000,2,2,2,0
1008850037,"145 E 29TH ST",1991,14,2000,2,2,1,0
